Pocz¹tkowo posortowanych elementów	Rozmiar tablicy	Czas sortownia	Czas sortowana	Czas sortowania	[ms]
		Quicksort [ms]	Mergesort [ms]	Heapsort [ms]	
	10000	140	140	281	
Wszystkie elementy losowe					
	50000	765	812	1655	
	100000	1593	1702	3577	
	500000	8419	9325	21369	
	1000000	17105	19229	46270	
	10000	109	125	281	
					
25%					
	50000	609	718	1671	
	100000	1296	1515	3592	
	500000	6842	8357	21479	
	1000000	13934	17261	46504	
	10000	78	109	265	
					
50%					
	50000	468	624	1640	
	100000	968	1327	3514	
	500000	5264	7357	20916	
	1000000	10778	15277	45020	
	10000	62	93	265	
					
75%					
	50000	312	546	1499	
	100000	656	1140	3186	
	500000	3671	6389	18386	
	1000000	7591	13309	39115	
	10000	31	93	249	
					
95%					
	50000	203	484	1405	
	100000	437	1015	2983	
	500000	2436	5623	16886	
	1000000	5092	11747	35538	
	10000	31	78	249	
					
99%					
	50000	187	468	1390	
	100000	390	999	2952	
	500000	2202	5498	16699	
	1000000	4608	11466	35007	
	10000	46	78	249	
					
99.7%					
	50000	187	484	1390	
	100000	390	984	2952	
	500000	2186	5561	16636	
	1000000	4545	11419	34897	
	10000	31	93	234	
Tablica posortowna malej¹co					
	50000	203	468	1327	
	100000	421	984	2796	
	500000	2311	5451	16027	
	1000000	4842	11356	33679	
